"","predicted.Sub_cell_type","predicted.Sub_cell_type_organ","predicted.Main_cell_type.score","predicted.Sub_cell_type.score","predicted.Sub_cell_type_organ.score","mapping.score","Azimuth.Pansci.Class","Azimuth.Pansci.Subclass","Azimuth.Cortex.Class","Azimuth.Cortex.Subclass","RNA.class_label","RNA.class_name","RNA.class_bootstrapping_probability","RNA.subclass_label","RNA.subclass_name","RNA.subclass_bootstrapping_probability","RNA.supertype_label","RNA.supertype_name","RNA.supertype_bootstrapping_probability","RNA.cluster_label","RNA.cluster_name","RNA.cluster_alias","RNA.cluster_bootstrapping_probability","mCG.class_label","mCG.class_name","mCG.class_bootstrapping_probability","mCG.subclass_label","mCG.subclass_name","mCG.subclass_bootstrapping_probability","mCG.supertype_label","mCG.supertype_name","mCG.supertype_bootstrapping_probability","mCG.cluster_label","mCG.cluster_name","mCG.cluster_alias","mCG.cluster_bootstrapping_probability","Brainmap.RNA.Class","Brainmap.RNA.Subclass","Brainmap.mCG.Class","Brainmap.mCG.Subclass","seurat_clusters","cell_type"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A11","Interbrain and midbrain neurons 1_10","Interbrain and midbrain neurons 1_10_Brain",0.391217436910455,0.140103017824756,0.140103017824756,0.73196029223024,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_24","24 MY Glut",0.79,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_26","26 P GABA",0.44,"CS20230722_SUBC_272","272 LDT-PCG-CS Gata3 Lhx1 Gaba",0.95,"CS20230722_SUPT_1057","1057 LDT-PCG-CS Gata3 Lhx1 Gaba_2",1,"CS20230722_CLUS_4739","4739 LDT-PCG-CS Gata3 Lhx1 Gaba_2",3195,1,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","13","L5 ET"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A12","Dentate gyrus neurons_8","Dentate gyrus neurons_8_Brain",0.384430289729144,0.229920351227564,0.229920351227564,0.856608203689753,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_23","23 P Glut",0.87,"CS20230722_SUBC_220","220 PB Pax5 Glut",0.97,"CS20230722_SUPT_0905","0905 PB Pax5 Glut_2",1,"CS20230722_CLUS_3972","3972 PB Pax5 Glut_2",4289,1,"CS20230722_CLAS_14","14 HY Glut",0.79,"CS20230722_SUBC_136","136 PMv-TMv Pitx2 Glut",0.97,"CS20230722_SUPT_0607","0607 PMv-TMv Pitx2 Glut_3",0.39,"CS20230722_CLUS_2473","2473 PMv-TMv Pitx2 Glut_3",2194,0.39,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L2/3 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A13","Interneurons 1_4","Interneurons 1_4_Brain",0.921168151672172,0.178992215536418,0.178992215536418,0.884273650316561,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_24","24 MY Glut",0.51,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_24","24 MY Glut",0.99,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",1,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,1,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A14","Cortical projection neurons 2_10","Cortical projection neurons 2_10_Brain",0.834836121849132,0.415502330734208,0.415502330734208,0.992361905646899,"Cortical projection neurons 2","Cortical projection neurons 1_3","Glutamatergic","L6 CT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",0.99,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_14","14 HY Glut",0.57,"CS20230722_SUBC_126","126 ARH-PVp Tbx3 Glut",0.43,"CS20230722_SUPT_0554","0554 ARH-PVp Tbx3 Glut_1",1,"CS20230722_CLUS_2276","2276 ARH-PVp Tbx3 Glut_1",1974,1,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","10","L6 CT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A15","Cortical projection neurons 1_14","Cortical projection neurons 1_14_Brain",0.611049540720574,0.249300143247941,0.249300143247941,0.853396866023376,"Cortical projection neurons 1","Cortical projection neurons 1_12","Glutamatergic","L5 IT","CS20230722_CLAS_20","20 MB GABA",0.96,"CS20230722_SUBC_213","213 SCsg Gabrr2 Gaba",0.83,"CS20230722_SUPT_0872","0872 SCsg Gabrr2 Gaba_1",1,"CS20230722_CLUS_3806","3806 SCsg Gabrr2 Gaba_1",3595,1,"CS20230722_CLAS_20","20 MB GABA",0.72,"CS20230722_SUBC_196","196 PAG-PPN Pax5 Sox21 Gaba",0.64,"CS20230722_SUPT_0802","0802 PAG-PPN Pax5 Sox21 Gaba_1",0.93,"CS20230722_CLUS_3442","3442 PAG-PPN Pax5 Sox21 Gaba_1",3441,0.93,"01 IT-ET Glut","009 L2/3 IT PIR-ENTl Glut","24 MY Glut","261 HB Calcb Chol","14","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A16","Cortical projection neurons 1_3","Cortical projection neurons 1_3_Brain",0.458176964247163,0.199021708551312,0.199021708551312,0.907787542501849,"Cortical projection neurons 2","Cortical projection neurons 1_3","Glutamatergic","L6 CT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_24","24 MY Glut",0.79,"CS20230722_SUBC_237","237 PRP-NI-PRNc-GRN Otp Glut",0.4,"CS20230722_SUPT_0957","0957 PRP-NI-PRNc-GRN Otp Glut_3",0.5,"CS20230722_CLUS_4219","4219 PRP-NI-PRNc-GRN Otp Glut_3",3738,0.5,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","10","L6 CT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A17","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.567495547577281,0.233878947864775,0.233878947864775,0.831379419029565,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_022","022 L5 ET CTX Glut",1,"CS20230722_SUPT_0094","0094 L5 ET CTX Glut_5",1,"CS20230722_CLUS_0376","0376 L5 ET CTX Glut_5",380,1,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.45,"CS20230722_SUBC_073","073 MEA-BST Sox6 Gaba",0.65,"CS20230722_SUPT_0345","0345 MEA-BST Sox6 Gaba_9",0.61,"CS20230722_CLUS_1234","1234 MEA-BST Sox6 Gaba_9",1150,0.61,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A18","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.651157711800599,0.395652508186262,0.395652508186262,0.803068918460095,"Cortical projection neurons 1","Cortical projection neurons 1_12","Glutamatergic","L5 IT","CS20230722_CLAS_19","19 MB Glut",0.6,"CS20230722_SUBC_167","167 PRC-PAG Tcf7l2 Irx2 Glut",0.59,"CS20230722_SUPT_0717","0717 PRC-PAG Tcf7l2 Irx2 Glut_5",1,"CS20230722_CLUS_2922","2922 PRC-PAG Tcf7l2 Irx2 Glut_5",24472,1,"CS20230722_CLAS_24","24 MY Glut",0.65,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.87,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.87,"01 IT-ET Glut","006 L4/5 IT CTX Glut","24 MY Glut","261 HB Calcb Chol","9","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A19","Cortical projection neurons 1_1","Cortical projection neurons 1_1_Brain",0.492001374018662,0.154781421211608,0.154781421211608,0.903145021456386,"Cortical projection neurons 1","Cortical projection neurons 1_13","Glutamatergic","L5 ET","CS20230722_CLAS_19","19 MB Glut",1,"CS20230722_SUBC_167","167 PRC-PAG Tcf7l2 Irx2 Glut",0.51,"CS20230722_SUPT_0717","0717 PRC-PAG Tcf7l2 Irx2 Glut_5",1,"CS20230722_CLUS_2922","2922 PRC-PAG Tcf7l2 Irx2 Glut_5",24472,1,"CS20230722_CLAS_24","24 MY Glut",0.93,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",1,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,1,"02 NP-CT-L6b Glut","023 SUB-ProS Glut","24 MY Glut","261 HB Calcb Chol","11","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A20","Cortical projection neurons 1_22","Cortical projection neurons 1_22_Brain",0.969223540204115,0.384253137232588,0.384253137232588,0.949766068803022,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_011","011 L2 IT ENT-po Glut",1,"CS20230722_SUPT_0052","0052 L2 IT ENT-po Glut_2",1,"CS20230722_CLUS_0189","0189 L2 IT ENT-po Glut_2",249,1,"CS20230722_CLAS_21","21 MB Dopa",0.45,"CS20230722_SUBC_215","215 SNc-VTA-RAmb Foxa1 Dopa",1,"CS20230722_SUPT_0883","0883 SNc-VTA-RAmb Foxa1 Dopa_4",0.91,"CS20230722_CLUS_3865","3865 SNc-VTA-RAmb Foxa1 Dopa_4",2403,0.91,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A21","Microglia_4","Microglia_4_Brain",0.561598842740084,0.389409956127675,0.389409956127675,0.864993920859593,"Microglia","Microglia_1","Non-Neuronal","Micro-PVM","CS20230722_CLAS_02","02 NP-CT-L6b Glut",0.97,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.48,"CS20230722_SUBC_073","073 MEA-BST Sox6 Gaba",0.88,"CS20230722_SUPT_0343","0343 MEA-BST Sox6 Gaba_7",0.83,"CS20230722_CLUS_1228","1228 MEA-BST Sox6 Gaba_7",1116,0.83,"19 MB Glut","157 RN Spp1 Glut","24 MY Glut","261 HB Calcb Chol","19","Micro-PVM"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A23","Oligodendrocyte progenitor cells_9","Oligodendrocyte progenitor cells_9_Brain",1,0.260933047146313,0.260933047146313,0.993633688423939,"Oligodendrocyte progenitor cells","Oligodendrocyte progenitor cells_9","Non-Neuronal","OPC","CS20230722_CLAS_31","31 OPC-Oligo",0.95,"CS20230722_SUBC_326","326 OPC NN",1,"CS20230722_SUPT_1179","1179 OPC NN_1",0.99,"CS20230722_CLUS_5270","5270 OPC NN_1",5207,0.99,"CS20230722_CLAS_22","22 MB-HB Sero",0.34,"CS20230722_SUBC_216","216 MB-MY Tph2 Glut-Sero",1,"CS20230722_SUPT_0890","0890 MB-MY Tph2 Glut-Sero_3",1,"CS20230722_CLUS_3897","3897 MB-MY Tph2 Glut-Sero_3",2853,1,"31 OPC-Oligo","326 OPC NN","24 MY Glut","261 HB Calcb Chol","15","OPC"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_A24","Striatal neurons 1_13","Striatal neurons 1_13_Brain",0.909371790868103,0.427537233013905,0.427537233013905,0.949218190843516,"Striatal neurons 1","Striatal neurons 1_13","GABAergic","L5 ET","CS20230722_CLAS_11","11 CNU-HYa GABA",0.83,"CS20230722_SUBC_078","078 SI-MA-ACB Ebf1 Bnc2 Gaba",0.47,"CS20230722_SUPT_0366","0366 SI-MA-ACB Ebf1 Bnc2 Gaba_3",1,"CS20230722_CLUS_1325","1325 SI-MA-ACB Ebf1 Bnc2 Gaba_3",997,1,"CS20230722_CLAS_21","21 MB Dopa",0.76,"CS20230722_SUBC_215","215 SNc-VTA-RAmb Foxa1 Dopa",1,"CS20230722_SUPT_0883","0883 SNc-VTA-RAmb Foxa1 Dopa_4",0.95,"CS20230722_CLUS_3865","3865 SNc-VTA-RAmb Foxa1 Dopa_4",2403,0.95,"09 CNU-LGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","7","L5 ET"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B1","Cortical projection neurons 1_12","Cortical projection neurons 1_12_Brain",0.987090017087697,0.926733970059454,0.926733970059454,0.987720968380377,"Cortical projection neurons 1","Cortical projection neurons 1_12","Glutamatergic","L5 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_009","009 L2/3 IT PIR-ENTl Glut",1,"CS20230722_SUPT_0042","0042 L2/3 IT PIR-ENTl Glut_4",1,"CS20230722_CLUS_0156","0156 L2/3 IT PIR-ENTl Glut_4",261,1,"CS20230722_CLAS_14","14 HY Glut",0.5,"CS20230722_SUBC_126","126 ARH-PVp Tbx3 Glut",0.78,"CS20230722_SUPT_0554","0554 ARH-PVp Tbx3 Glut_1",1,"CS20230722_CLUS_2276","2276 ARH-PVp Tbx3 Glut_1",1974,1,"01 IT-ET Glut","009 L2/3 IT PIR-ENTl Glut","24 MY Glut","261 HB Calcb Chol","14","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B3","Interneurons 1_11","Interneurons 1_11_Brain",0.925752645432142,0.244676015931357,0.244676015931357,0.947098844062042,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_07","07 CTX-MGE GABA",1,"CS20230722_SUBC_053","053 Sst Gaba",1,"CS20230722_SUPT_0223","0223 Sst Gaba_10",1,"CS20230722_CLUS_0802","0802 Sst Gaba_10",524,1,"CS20230722_CLAS_08","08 CNU-MGE GABA",0.34,"CS20230722_SUBC_057","057 NDB-SI-MA-STRv Lhx8 Gaba",0.98,"CS20230722_SUPT_0245","0245 NDB-SI-MA-STRv Lhx8 Gaba_2",0.4,"CS20230722_CLUS_0872","0872 NDB-SI-MA-STRv Lhx8 Gaba_2",821,0.4,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B4","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.468447309578708,0.127002105653783,0.127002105653783,0.988121953104267,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_24","24 MY Glut",0.95,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_24","24 MY Glut",0.69,"CS20230722_SUBC_254","254 VCO Mafa Meis2 Glut",0.99,"CS20230722_SUPT_1013","1013 VCO Mafa Meis2 Glut_1",1,"CS20230722_CLUS_4558","4558 VCO Mafa Meis2 Glut_1",8161,1,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
